job_role,skills
Data Scientist,"Python, SQL, Machine Learning, Data Analysis, Statistics, Pandas, NumPy, Data Visualization"
DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD, Linux, Terraform, Jenkins, Automation"
Backend Developer,"Java, Python, SQL, APIs, Node.js, REST, Microservices, Databases"
Frontend Developer,"HTML, CSS, JavaScript, React, UI Design, Responsive Design, TypeScript, Web Design"
Full Stack Developer,"JavaScript, React, Node.js, SQL, APIs, HTML, CSS, Python"
Machine Learning Engineer,"Python, Machine Learning, TensorFlow, PyTorch, Deep Learning, Data Structures, Algorithms, Statistics"
Cloud Architect,"AWS, Azure, Cloud Computing, Docker, Kubernetes, Networking, Security, Terraform"
Cybersecurity Analyst,"Security, Networking, Penetration Testing, Linux, Cryptography, Risk Assessment, Firewalls, Compliance"
Mobile App Developer,"Java, Kotlin, Swift, Mobile Development, UI Design, APIs, Android, iOS"
QA Engineer,"Testing, Automation, Selenium, Test Cases, Debugging, CI/CD, Quality Assurance, Python"
Business Analyst,"Data Analysis, SQL, Excel, Business Intelligence, Requirements Gathering, Communication, Reporting, Stakeholder Management"
UI/UX Designer,"UI Design, UX Research, Figma, Wireframing, Prototyping, User Testing, Web Design, Visual Design"
Database Administrator,"SQL, Database Design, Backup Recovery, Performance Tuning, Oracle, MySQL, PostgreSQL, Security"
Blockchain Developer,"Blockchain, Solidity, Smart Contracts, Cryptography, Ethereum, Web3, Python, Security"
Game Developer,"C++, Unity, Game Design, 3D Modeling, Physics, C#, Graphics Programming, Animation"
